token,count,humor_type,type_score,score_dark_humor,score_wordplay_puns,score_sarcasm_irony,score_absurd_surreal,score_topical_political,score_relationship_family,score_workplace_office,score_animals
doctor,43,dark_humor,0.29561654,0.29561654,0.09562461,0.043860763,0.17646119,0.11752945,0.08587599,0.08393335,0.17591223
holding,43,animals,0.11732336,0.05198306,0.022953518,0.05577752,0.04211349,0.11008082,0.06508286,-0.041224957,0.11732336
house,42,absurd_surreal,0.18949196,0.18251868,0.073978625,0.06115932,0.18949196,0.042967692,0.14060089,-0.061353497,0.17221203
large,41,animals,0.13497229,0.042313956,0.055793047,0.08472883,0.1258209,0.092101894,0.026546638,0.061689354,0.13497229
person,39,dark_humor,0.101723805,0.101723805,0.03581372,0.0683618,0.0666337,0.03276234,0.029410558,0.09885432,0.08916654
front,39,animals,0.11273144,0.07202545,0.015058669,0.07077478,0.060540974,0.09323891,0.069117814,0.006330145,0.11273144
fish,39,animals,0.42056596,0.024031587,0.07615213,0.03992967,0.20327805,0.12598716,0.07949109,0.067632765,0.42056596
king,39,dark_humor,0.19529441,0.19529441,0.086458236,0.039637726,0.058118135,0.0842371,0.013991085,0.043934215,0.14326327
look,39,topical_political,0.1364569,0.09732603,0.034343705,0.10654337,0.06810295,0.1364569,0.006127257,0.049504016,0.082325004
would,39,animals,0.10455544,0.09054646,0.057507962,0.08525331,0.010954351,0.062190752,0.093423925,0.07784302,0.10455544
face,39,dark_humor,0.1675385,0.1675385,0.008469865,0.12458226,0.10774467,0.15725766,0.02498187,0.09531546,0.16653278
top,38,animals,0.1566517,0.11420844,-0.039514456,0.025875866,0.07088684,0.10212673,0.0064158905,0.02746831,0.1566517
around,37,animals,0.10684383,0.041360177,0.012100933,0.0028770138,0.04584503,0.052868046,0.019357385,0.052006118,0.10684383
dog,35,animals,0.4587388,0.13521735,0.010276796,0.0059577804,0.16306408,0.13307771,0.059667733,0.028498184,0.4587388
cave,35,dark_humor,0.20128225,0.20128225,0.07198037,0.06013028,0.15716532,0.12388514,0.07913251,-0.055476673,0.13242722
place,34,dark_humor,0.14974254,0.14974254,0.08132626,0.07546174,0.09918153,-0.0016007433,0.08147099,-0.072500125,0.096056566
bar,34,animals,0.16181546,0.030762278,0.031278476,0.11336335,0.027103793,0.035828233,0.09063955,-0.025187474,0.16181546
watching,34,animals,0.09627818,0.048205182,-0.029806755,0.034915674,0.095755376,0.030893868,0.08476149,-0.0026777796,0.09627818
kitchen,33,dark_humor,0.14574613,0.14574613,-0.002711142,0.060452096,0.106493995,0.056712016,0.116829425,0.061961904,0.086869605
saying,33,animals,0.15344614,0.07526336,0.11591805,0.121610254,0.06077632,0.072121724,0.03489304,-0.005289939,0.15344614
dressed,33,dark_humor,0.14625615,0.14625615,-0.00099647,0.027326249,0.017326549,0.12819684,-0.04469318,0.025457144,0.09089987
carrying,33,animals,0.14669938,0.14410383,0.07441032,0.053762455,0.08841452,0.068812214,0.10684891,0.004830975,0.14669938
walking,32,dark_humor,0.11301455,0.11301455,0.01594454,-0.008460193,0.07292214,0.051662624,0.08569504,-0.02521882,0.10786629
waiter,30,workplace_office,0.21980658,0.03447741,0.115672484,0.12439571,0.035281494,0.04553356,0.16314596,0.21980658,0.09336268
hair,29,animals,0.28475708,0.18005867,0.15982264,0.018735394,0.15691629,0.10852609,0.035740178,-0.0067287935,0.28475708
mountain,29,dark_humor,0.14096913,0.14096913,0.05631791,0.08870356,0.074164204,0.08716039,0.0787405,0.03887137,0.12279296
water,29,animals,0.18179175,0.068032,0.058949772,-0.03294283,0.088684924,0.13565607,0.09094081,-0.03010022,0.18179175
get,29,topical_political,0.16283059,0.13759258,0.13301793,0.12553637,0.093934715,0.16283059,0.08311815,0.10843399,0.15551902
animals,29,animals,0.5834134,0.050589297,0.005234193,-0.09110223,0.30509603,0.10702803,0.037733465,-0.06949112,0.5834134
island,29,absurd_surreal,0.1470141,0.08971742,0.02958123,0.06808643,0.1470141,-0.026332319,0.02030948,-0.08500032,0.0960185
caveman,29,animals,0.1790208,0.16945766,0.12226689,0.06588352,0.11515155,0.15428965,0.038397267,0.052920893,0.1790208
car,28,animals,0.22481412,0.11153433,0.05465241,0.033849727,0.16194847,0.13177462,0.1500062,-0.016110552,0.22481412
building,28,dark_humor,0.13128363,0.13128363,-0.02427479,0.032541074,0.075321466,0.101206094,0.037932314,0.05196486,0.07837504
middle,28,animals,0.16917852,0.1330331,0.039353613,0.1189893,0.15824723,0.06044477,0.075940154,0.09788363,0.16917852
desert,28,dark_humor,0.21081159,0.21081159,0.11189539,0.1458286,0.13185889,0.10979298,0.066311575,-0.072543316,0.09400636
whale,27,animals,0.33740634,0.08286871,0.050528474,0.035105076,0.27617168,0.08559393,-0.061252095,-0.018689346,0.33740634
knight,27,animals,0.15828946,0.09639889,0.022895182,0.019673541,0.020485569,0.07400296,0.03572919,0.09407854,0.15828946
behind,27,animals,0.08199546,0.045289837,0.0411133,0.041693594,0.06195499,0.066418104,0.013153665,-0.05156348,0.08199546
staring,27,absurd_surreal,0.16286609,0.12943704,0.08931406,0.06509242,0.16286609,0.09919015,0.039809853,-0.04787232,0.1072731
subway,26,topical_political,0.11835471,0.06659682,0.024046551,0.09473978,0.08543361,0.11835471,0.003924655,0.027966062,0.06681582
playing,26,animals,0.11458466,0.093158424,0.092075095,0.06344071,0.072394274,0.09387519,0.0390115,-0.035139125,0.11458466
trying,25,topical_political,0.13828096,0.11172301,0.024469998,0.050522465,0.126219,0.13828096,0.07265485,0.0195978,0.09340373
clothes,25,animals,0.15777642,0.07879094,-0.0081809275,-0.06765867,0.067694366,0.0716028,0.008006911,-0.046734866,0.15777642
also,25,animals,0.13713728,0.123269364,0.12097282,0.06697896,0.052527014,0.09644341,0.086767875,0.08690636,0.13713728
three,25,dark_humor,0.14926177,0.14926177,0.1022884,0.08034754,0.11938515,0.11812551,0.09467745,0.002151451,0.14304326
back,24,animals,0.1379714,0.01266914,-0.0039217956,0.044215377,0.028078346,0.09078775,0.059377532,-0.027687691,0.1379714
shop,24,animals,0.12712863,0.053136896,0.066147916,0.0051741516,0.029608618,0.08756721,-0.011776798,0.07593894,0.12712863
couch,24,animals,0.2601959,0.13635528,0.05575284,0.054463435,0.2251114,-0.010332838,0.08243602,0.033530977,0.2601959
modern,23,dark_humor,0.15428719,0.15428719,0.029048441,0.13578834,0.11575727,0.11169574,0.10143222,0.03182645,0.07446969
way,23,topical_political,0.1479724,0.10717621,0.054951925,0.046148505,0.09802116,0.1479724,0.0951062,0.065379135,0.13342258
someone,23,animals,0.11877401,0.11007895,0.06895974,0.06999992,0.06280876,0.06987466,0.08595123,0.080308214,0.11877401
store,23,animals,0.119804524,0.054394778,0.06301204,0.014057298,0.0007835943,0.048016317,0.012321839,0.05262249,0.119804524
next,23,absurd_surreal,0.14166307,0.101594046,0.051111095,0.12633654,0.14166307,0.12612568,0.059759013,0.017623948,0.10202737
long,22,absurd_surreal,0.11681636,0.07810418,0.07961697,0.08246899,0.11681636,0.11309027,0.08807238,0.007914907,0.11551506
coming,22,topical_political,0.12737015,0.12137778,0.02072353,0.010079078,0.04353138,0.12737015,0.053145867,0.022354176,0.093503356
piano,22,dark_humor,0.11256072,0.11256072,0.089156896,0.062387865,0.10874854,-0.008545115,0.07574397,0.0593707,0.10152995
cat,22,animals,0.49015206,0.13437188,0.09700162,0.050407838,0.20692664,0.12827697,0.044803366,0.02603342,0.49015206
city,21,dark_humor,0.14972597,0.14972597,0.025148222,0.04645641,0.046269383,0.019735761,0.021326344,0.014289457,0.08024788
baseball,21,animals,0.17561612,0.1102769,0.05584653,0.073677905,0.12375684,0.095729545,0.13394874,0.053248055,0.17561612
paper,21,dark_humor,0.20205355,0.20205355,-0.0061381496,-0.02083641,0.06329953,0.12227604,0.046472795,0.09473799,0.18301064
door,21,animals,0.18943524,0.16542634,0.023026587,0.012356784,0.10260776,0.07416776,0.07663642,0.0050835274,0.18943524
horse,21,animals,0.4432454,0.07252744,0.079717115,0.00080693327,0.26607051,0.08673543,0.03039595,0.0005803413,0.4432454
dogs,21,animals,0.4923338,0.13104708,-0.014601354,-0.064583525,0.15388028,0.12388754,0.12510589,-0.02323606,0.4923338
boy,21,topical_political,0.13550061,0.114325434,0.07679772,0.11028287,0.037111077,0.13550061,0.030803367,0.037456706,0.12997153
angry,21,sarcasm_irony,0.19610074,0.15329838,0.17556056,0.19610074,0.035562895,0.09752257,0.10621683,0.06770397,0.14457285
meeting,21,workplace_office,0.23728912,0.098882206,0.033900738,0.040585343,0.12129388,0.14299087,0.19922309,0.23728912,0.094018124
usually,20,wordplay_puns,0.06950895,0.029537275,0.06950895,0.006037103,-0.07741226,-0.015133461,0.038370628,-0.0024266653,0.023064319
bunch,20,dark_humor,0.18002777,0.18002777,0.06904122,0.06110962,0.1210335,0.089347534,0.10090375,-0.02529834,0.1682511
party,20,dark_humor,0.20499228,0.20499228,0.10321961,0.0202565,0.13553677,0.18669638,0.095389895,0.046126105,0.110277325
big,20,animals,0.12563106,0.051124763,0.05348645,0.037452713,0.08519687,0.08618381,0.034712773,0.010355659,0.12563106
bear,20,animals,0.39355886,0.034705814,0.07626411,0.0005073566,0.18580201,0.09875764,0.020922478,-0.028363423,0.39355886
small,20,animals,0.12892339,-0.0025374014,0.05382929,0.0813165,0.06638325,0.06912792,0.021940378,0.04259591,0.12892339
bird,20,animals,0.4487393,0.097478256,0.1654071,0.03875059,0.23251471,0.17170534,0.039835352,-0.03188879,0.4487393
ground,20,absurd_surreal,0.1524606,0.13469222,0.13921276,0.10242898,0.1524606,0.09085356,0.052121624,-0.049506396,0.14052677
wall,20,animals,0.22445747,0.17008391,0.022604158,0.068825155,0.18334012,0.10392238,0.026531976,-0.042091038,0.22445747
birds,20,animals,0.43623322,0.07929244,0.12470786,-0.024689805,0.27072757,0.15801848,0.08083658,-0.06568823,0.43623322
sheep,19,animals,0.357625,0.05975389,0.060533933,0.07293287,0.19178303,0.11729254,-0.0024437495,-0.016660975,0.357625
earth,19,absurd_surreal,0.22961274,0.13506728,0.07674963,0.044808228,0.22961274,0.016137343,0.052515924,-0.059468802,0.061332658
suit,19,dark_humor,0.1878861,0.1878861,0.011947573,0.07351217,0.043715812,0.17445919,0.0027095154,0.007948305,0.118783355
time,19,animals,0.17212805,0.09567031,0.067512356,0.054920964,0.12934965,0.09095803,0.1196561,0.06491719,0.17212805
appears,19,absurd_surreal,0.13174157,0.07022788,0.045789726,0.112879284,0.13174157,0.11881714,0.03345924,0.042745743,0.08294874
happy,19,animals,0.1680254,0.14351876,0.05205724,0.08002505,0.09820898,0.07322185,0.107759245,0.12487337,0.1680254
going,19,dark_humor,0.15658602,0.15658602,0.065167464,0.034253977,0.07081953,0.13659112,0.052304782,-0.013965617,0.10999289
human,19,animals,0.22953497,0.09409275,0.05105223,0.051001377,0.16355759,0.048225246,-0.012168162,0.037257113,0.22953497
ocean,18,absurd_surreal,0.18251953,0.16037402,0.06882383,0.059284583,0.18251953,0.06476684,0.08320061,-0.012466017,0.14970733
dinner,18,relationship_family,0.31356567,0.10027911,0.038360856,0.09384943,0.06893023,0.100353375,0.31356567,0.0820782,0.14543931
station,17,animals,0.16995221,0.1295322,0.045477178,-0.023047267,0.08827068,0.028201316,-0.015100548,0.07831775,0.16995221
sword,17,animals,0.17651053,0.17224854,0.06911478,0.078973815,0.08041862,0.03894943,0.088088915,0.06612952,0.17651053
hand,17,animals,0.12542914,0.072664484,0.032874458,0.107752696,0.06277265,0.0679865,0.09125393,0.010798432,0.12542914
food,17,animals,0.2821263,0.11578842,0.076233625,0.03631922,0.13887861,0.18286957,0.13381308,-0.0073754434,0.2821263
park,17,animals,0.2287674,0.09662501,0.07195565,0.040499322,0.10442115,0.051100194,0.07312658,-0.037288956,0.2287674
taking,17,topical_political,0.11751326,0.07604937,0.05204436,0.07876447,0.04185736,0.11751326,0.08441749,0.004282479,0.071012214
phone,17,animals,0.1465071,0.118486166,0.08055452,-0.0065818643,0.0960377,0.11845946,0.13388553,0.08835,0.1465071
shark,17,animals,0.32665378,0.09731288,0.014969661,-0.03127639,0.18013307,0.12859902,-0.039476454,0.064072795,0.32665378
beach,17,dark_humor,0.15883331,0.15883331,0.015933625,0.07018967,0.040364288,0.039398834,0.12670493,-0.037760157,0.072002776
patient,17,dark_humor,0.26895195,0.26895195,0.08451744,0.12096964,0.11781443,0.1656217,0.020213332,0.038274065,0.14187014
window,17,animals,0.19055659,0.104172334,0.013987783,0.05090598,0.104334675,0.07661103,0.07047981,0.103930235,0.19055659
snow,17,animals,0.19828314,0.111917555,0.060432754,0.1269364,0.072129,0.1522773,0.082542896,0.08937292,0.19828314
stand,16,animals,0.08499126,0.055229343,0.07451487,0.0795042,0.07071017,0.034892388,0.03152991,0.07690315,0.08499126
together,16,relationship_family,0.30208755,0.15968311,0.15510677,0.017553085,0.08567428,0.111037135,0.30208755,0.025697004,0.16195408
train,16,animals,0.23961236,0.0902964,0.05108303,0.054421574,0.10964851,0.10192445,0.027420312,0.012373941,0.23961236
mice,16,animals,0.3874268,0.08939867,0.07022503,0.06608599,0.1605621,0.18002707,0.0023505054,-0.0130516365,0.3874268
size,16,animals,0.113221765,0.008433826,0.010510612,0.03273377,0.03148759,0.04173246,-0.03625197,0.03381896,0.113221765
mouse,16,animals,0.2951929,0.04106951,0.051229298,0.039556094,0.094986364,0.092367336,-0.03098933,0.076144725,0.2951929
desk,16,workplace_office,0.31520516,0.15218297,0.09152338,0.116979256,0.13176882,0.057869654,0.016887976,0.31520516,0.17799766
sidewalk,16,dark_humor,0.11891292,0.11891292,0.025809363,-0.005158983,0.065518595,0.015806027,0.025308011,0.07296018,0.10294613
snake,15,animals,0.30821526,0.13867696,0.08610821,0.043720797,0.28094316,0.09564777,0.033514768,0.010372167,0.30821526
rat,15,animals,0.31027,0.11049075,0.056545652,0.1173708,0.11863618,0.122145005,0.033018738,-0.04043686,0.31027
odd,15,absurd_surreal,0.28072375,0.10651006,0.13002943,0.08530566,0.28072375,0.03256671,0.038647264,0.083389685,0.080890544
leaves,15,animals,0.19804728,0.14275767,0.067911655,-0.027539989,0.07019438,0.07399011,0.040308498,-0.0014078366,0.19804728
ship,15,animals,0.14176555,0.1339759,0.07082129,0.060386974,0.12827742,0.10592,0.08771687,0.08358839,0.14176555
cooking,15,relationship_family,0.15151805,0.13197854,0.06097553,0.102032796,0.073115185,0.10817471,0.15151805,-0.039682537,0.14841819
menu,15,dark_humor,0.09452919,0.09452919,-0.057133887,0.021445906,0.021838313,0.04068499,0.024614058,0.048948348,0.04413792
hole,15,dark_humor,0.22882906,0.22882906,0.15701148,0.033397898,0.15624695,0.20466726,0.046561923,-0.025539478,0.15788934
hat,15,topical_political,0.1828202,0.16306311,0.13807298,0.08556431,0.10885744,0.1828202,0.05701135,0.11402818,0.15584666
laying,14,dark_humor,0.2659241,0.2659241,0.1007524,0.08137768,0.12511498,0.03924348,0.00716647,-0.11591143,0.11776193
seems,14,sarcasm_irony,0.15528253,0.06775878,0.09048356,0.15528253,0.12549318,0.15060148,0.057458498,0.022850333,0.04049544
yoga,14,dark_humor,0.08257296,0.08257296,-0.04548504,0.06281416,0.045761153,0.0711166,0.01839344,0.016593382,0.0082158595
facing,14,topical_political,0.19271022,0.17335464,0.0556093,0.13624737,0.11433239,0.19271022,0.09074884,0.02021918,0.15076399
giraffes,14,animals,0.38924295,0.07766858,0.047558762,0.011206014,0.24937192,0.18536523,0.026179783,0.031080082,0.38924295
death,14,dark_humor,0.52116454,0.52116454,0.049993563,0.1154656,0.1739701,0.16366649,0.09750618,-0.0061708437,0.120289624
come,14,animals,0.11600584,0.10373679,0.09557606,0.09104857,0.017558191,0.112344496,0.030729946,-0.0021954728,0.11600584
chair,14,dark_humor,0.13717024,0.13717024,0.062724575,0.09173687,0.13230091,0.109667815,0.024986789,0.059370782,0.13124552
pirate,14,animals,0.18696432,0.108842075,0.052991234,0.011654093,0.14626351,-0.0053189658,0.038217507,0.10262324,0.18696432
instead,14,topical_political,0.14042263,0.09039613,0.066535994,0.12405406,0.087048605,0.14042263,0.08300372,0.023681222,0.13392693
tower,14,dark_humor,0.16253442,0.16253442,0.07030369,0.010150239,0.09168279,-0.020329865,-0.035779156,0.058631226,0.11211945
side,13,animals,0.1420339,0.13824223,0.018878624,0.06800592,0.07990417,0.10778378,0.056196965,-0.00097175315,0.1420339
reading,13,animals,0.13986503,0.13304342,0.11507764,0.106534645,0.12556756,0.06843218,0.08476943,-0.00067136623,0.13986503
climbing,13,animals,0.17575029,0.087604724,0.06422124,0.02778122,0.07040217,0.07471563,0.04031694,0.0018719947,0.17575029
cliff,13,dark_humor,0.21765062,0.21765062,0.07494766,0.05976618,0.08044795,0.05516666,0.09757984,0.061163396,0.1622468
fire,13,dark_humor,0.26064715,0.26064715,0.11006698,0.06036599,0.1576849,0.11770323,0.09094704,-0.0036224155,0.20784757
stands,13,animals,0.08304124,0.03114156,0.045082945,0.035556708,0.041368037,-0.01304563,0.03856519,0.07140119,0.08304124
drink,13,topical_political,0.124329776,0.031765237,0.10407707,0.05574454,0.061967924,0.124329776,0.11206809,-0.017158553,0.108468324
surrounded,13,relationship_family,0.1283974,0.10844383,0.029711407,0.042499594,0.12425478,0.09518036,0.1283974,-0.097283974,0.111056976
exist,13,absurd_surreal,0.2140636,0.12560003,0.05386223,0.094789445,0.2140636,0.06719633,0.07001117,-0.08714506,0.09371469
full,13,dark_humor,0.17025605,0.17025605,0.043901555,0.0442556,0.11162021,0.114830405,0.05449082,0.08036181,0.1051988
therapist,13,dark_humor,0.20426735,0.20426735,0.03042211,0.05170867,0.13612467,0.021738797,0.11520868,0.0150102405,0.11723006
police,13,animals,0.19786711,0.1206473,0.01776287,0.0097916145,0.10754536,0.10354796,0.08416393,0.012217698,0.19786711
tiny,13,animals,0.09820363,-0.003551986,0.048896063,0.051873107,0.08406418,0.08754309,-0.013408483,0.028474823,0.09820363
plank,13,animals,0.2101892,0.08579718,0.056249242,0.0766532,0.19400576,0.015237214,-0.04831771,0.085669816,0.2101892
nothing,13,absurd_surreal,0.18494876,0.16214937,0.08279553,0.04020241,0.18494876,0.11058521,0.06422047,0.048050173,0.12726456
throne,13,dark_humor,0.21235454,0.21235454,0.10450131,0.12345815,0.08037793,0.016111614,0.1016995,0.05883592,0.17956412
elevator,13,dark_humor,0.15039457,0.15039457,0.073642746,0.08607276,0.113522634,0.025351007,-0.02761914,0.007430187,0.045979425
cake,13,dark_humor,0.26819894,0.26819894,0.16522071,0.14674973,0.16862163,0.17877382,0.11371489,-0.027959924,0.11932611
field,13,animals,0.2559146,0.15303597,-0.0034599807,0.022452794,0.17486037,0.12540412,0.10229284,0.0980929,0.2559146
lab,13,animals,0.29440942,0.085333146,0.02426709,0.029199582,0.16464876,0.119683065,0.033282705,0.0961447,0.29440942
normally,13,wordplay_puns,0.08546786,0.05677019,0.08546786,0.032458186,0.015183827,0.031883102,-0.0061183907,0.027983483,0.043495316
clouds,13,absurd_surreal,0.21789995,0.18122283,0.07904659,0.07162911,0.21789995,0.103031166,0.056715373,0.05498842,0.09581506
still,13,topical_political,0.13397136,0.11077795,0.04917258,0.078632265,0.092650436,0.13397136,0.06201311,0.1055755,0.11804486
air,13,dark_humor,0.2083364,0.2083364,0.119768366,0.10926978,0.13933247,0.20198673,0.04060018,-0.027896084,0.1320597
running,13,animals,0.15465733,0.10273968,0.032256752,0.021394897,0.08624591,0.14627245,0.055178482,-0.078735925,0.15465733
scene,13,absurd_surreal,0.17767335,0.15350668,0.020157058,0.09214455,0.17767335,0.097686745,0.10980806,0.037354216,0.05818376
sharks,12,animals,0.27351975,0.08854437,-0.010126309,-0.050438456,0.17094693,0.08328739,0.009359777,0.0049722847,0.27351975
clothing,12,animals,0.16768064,0.08480789,0.0114514055,-0.0242533,0.06983341,0.10825862,-0.009898022,-0.04626346,0.16768064
sits,12,animals,0.12591481,0.1213878,0.061552923,0.104893684,0.070182756,0.09827347,0.07614921,-0.05477097,0.12591481
deer,12,animals,0.35433966,0.07579874,0.115519315,0.05872871,0.16833663,0.1480779,0.059580192,0.04180872,0.35433966
hamster,12,animals,0.41170886,0.09945795,0.1475354,0.07852459,0.19658646,0.03426271,-0.048942976,0.011442042,0.41170886
counter,12,dark_humor,0.15535524,0.15535524,-0.020075694,0.047008667,0.12554851,0.09244515,0.039393302,0.10127552,0.10403241
alive,12,dark_humor,0.28006896,0.28006896,-0.0038370192,0.09090209,0.105213895,0.13065389,0.0346026,-0.041452743,0.1594216
mouth,12,animals,0.19670296,0.06172357,0.13754049,0.08375297,0.0968817,0.18001372,0.027107101,0.04746294,0.19670296
suits,12,dark_humor,0.18185955,0.18185955,0.0075547514,0.061581325,0.021345474,0.16069756,0.045846358,0.009979352,0.10434661
wine,12,relationship_family,0.13755773,0.09731591,0.09083342,0.027081016,0.045889385,0.04616204,0.13755773,0.014420096,0.07131663
alligator,12,animals,0.26875034,0.09319265,0.0053917766,-0.050032172,0.14888051,0.114538096,-0.033114668,-0.057159975,0.26875034
cloud,12,absurd_surreal,0.18748084,0.14947115,0.0853371,0.060490098,0.18748084,0.09893178,0.048752848,0.06506529,0.15523389
wear,12,dark_humor,0.1171214,0.1171214,0.01661841,0.066286676,-0.013065475,0.10027674,0.016775526,-0.05018274,0.06751346
clown,12,dark_humor,0.26453906,0.26453906,0.23300678,0.224899,0.26333562,0.15409869,0.004570866,0.099181324,0.106150575
maze,12,dark_humor,0.2617676,0.2617676,-0.0038035526,-0.0069954917,0.19629696,0.12383553,0.028076705,-0.116632596,0.14357328
genie,12,animals,0.23744416,0.008528486,0.13888311,0.050890498,0.2056588,0.15570366,-0.017395647,0.032065395,0.23744416
nearby,12,animals,0.10256523,0.03545233,0.022530343,0.01920414,0.059543014,0.0111049805,0.05795261,-0.013082992,0.10256523
lion,12,animals,0.47213316,0.13332285,0.028019754,0.044182252,0.23801374,0.12284657,0.008551022,-0.014823601,0.47213316
egg,11,animals,0.30958098,0.21618426,0.16135162,0.053002704,0.2551181,0.13818197,0.07222988,0.009904208,0.30958098
baker,11,animals,0.17461076,0.16860859,0.07926884,0.04014844,0.06886641,0.08566887,0.016232792,0.05745481,0.17461076
work,11,topical_political,0.18882418,0.13911529,0.06485865,0.07897818,0.11760747,0.18882418,0.08605696,0.16284741,0.18010296
using,11,topical_political,0.12900229,0.12290631,-0.016892303,0.009105346,0.0007863147,0.12900229,0.04499144,0.0241376,0.09707702
humans,11,animals,0.18936643,0.08484561,0.021773193,-0.06259815,0.13115354,0.04962117,0.08756145,-0.046150647,0.18936643
right,11,absurd_surreal,0.14481166,0.09824698,0.06496489,0.14446478,0.14481166,0.07462974,0.07858242,0.10407461,0.116973564
computers,11,animals,0.16182658,0.09903963,0.06175845,0.014015466,0.118164696,0.09473116,0.05598237,0.098323725,0.16182658
soup,11,dark_humor,0.20611301,0.20611301,0.084546745,0.06272395,0.073825195,0.12061669,0.188923,0.020949941,0.17705436
bull,11,animals,0.38125318,0.08000153,0.15327829,0.1036528,0.20357595,0.13873021,0.0810343,-0.04980316,0.38125318
walk,11,animals,0.15283671,0.10386852,0.058163475,0.0065166513,0.04994157,0.06190242,0.10182212,-0.018505923,0.15283671
lizard,11,animals,0.254049,0.065978274,0.06217589,0.06463179,0.22218688,0.03976787,0.024750436,0.045744672,0.254049
background,11,absurd_surreal,0.15590003,0.13180982,-0.07292492,-0.087019674,0.15590003,0.03687249,0.024870764,-0.0030308217,0.12459419
women,11,relationship_family,0.17034885,0.083092116,0.044225644,-0.020078376,0.045377217,0.0046076393,0.17034885,0.019484783,0.07561789
boat,11,animals,0.23140725,0.07854081,0.08860983,0.0030702811,0.1474438,0.121057376,0.061452024,-0.023154229,0.23140725
group,11,dark_humor,0.15636119,0.15636119,0.042352848,0.00202173,0.03549481,0.03116967,0.03934551,-0.019056346,0.13173017
hammock,11,animals,0.25712478,0.15605396,0.08419824,0.16053684,0.08519104,0.07776051,-0.016868573,0.042623103,0.25712478
snowmen,11,sarcasm_irony,0.16272882,0.122965544,0.08443025,0.16272882,0.054733735,0.1605924,0.07213188,0.09081704,0.14762102
