token,count
shoes,2
shopping,2
shovel,2
showing,2
shredding,2
skates,2
skeleton,2
smiling,2
snow,2
someone,2
station,2
store,2
stuck,2
swim,2
take,2
teddy,2
therapy,2
thinking,2
three,2
tied,2
toaster,2
trapped,2
trick,2
truck,2
turtle,2
ufo,2
vendor,2
wall,2
washing,2
wine,2
witness,2
wolf,2
wolves,2
women,2
work,2
working,2
wrapped,2
yoga,2
adults,1
afraid,1
allowed,1
allowing,1
amish,1
analyzing,1
animal,1
animated,1
apart,1
apartment,1
apple,1
arms,1
arrest,1
asylum,1
attach,1
attacking,1
attention,1
away,1
baby,1
backwards,1
balcony,1
balls,1
banana,1
band,1
bandaged,1
barbecue,1
bartender,1
bath,1
bathtub,1
batting,1
bbqing,1
beachball,1
beached,1
beaming,1
bed,1
behind,1
bite,1
block,1
board,1
book,1
books,1
bottle,1
box,1
boxing,1
boyfriend,1
break,1
breathing,1
brought,1
bubbles,1
buildings,1
bunch,1
burning,1
business,1
butler,1
buying,1
cafe,1
calm,1
cannonballing,1
cap,1
cappuccino,1
cars,1
cart,1
case,1
castle,1
cause,1
cavewoman,1
ceiling,1
cell,1
cement,1
chair,1
chairs,1
chalk,1
chameleon,1
chart,1
chase,1
chefs,1
child,1
cinderblock,1
claws,1
clerk,1
cliff,1
clipboard,1
clone,1
close,1
clouds,1
clowns,1
coats,1
collar,1
collars,1
committed,1
computer,1
conducting,1
corner,1
costumes,1
course,1
court,1
covered,1
cowboy,1
cowboys,1
cracked,1
crawling,1
create,1
creep,1
crime,1
date,1
deal,1
dealing,1
debating,1
decide,1
decided,1
defy,1
deliver,1
destitute,1
diagnosing,1
die,1
died,1
different,1
digging,1
dinosaur,1
dinosaurs,1
discussing,1
dive,1
diving,1
dolls,1
donut,1
dough,1
drawing,1
dress,1
drew,1
driven,1
dropped,1
duck,1
ducks,1
dummy,1
dumpty,1
dwarfs,1
egotistical,1
elephant,1
else,1
embedded,1
employee,1
end,1
enough,1
environment,1
escape,1
even,1
ever,1
everyone,1
exaggerated,1
exhibit,1
experimenting,1
explain,1
explorer,1
fable,1
faces,1
falling,1
family,1
far,1
farmer,1
fear,1
female,1
fighting,1
firefighters,1
flight,1
following,1
forced,1
foreground,1
forest,1
forming,1
found,1
fours,1
frankenstein,1
frill,1
game,1
gator,1
girl,1
gloves,1
god,1
gravity,1
green,1
grocery,1
groomsman,1
ground,1
guitar,1
gun,1
hallucination,1
hands,1
happen,1
hatch,1
hazmat,1
held,1
hell,1
high,1
hikers,1
hive,1
holes,1
home,1
honey,1
hoodlum,1
hook,1
hornets,1
humans,1
humpty,1
hunt,1
husband,1
identical,1
ill,1
informally,1
injured,1
injuries,1
insects,1
inspecting,1
instead,1
instruments,1
interested,1
invited,1
ivs,1
jack,1
jacket,1
jackets,1
jail,1
jetpack,1
joust,1
jump,1
jumping,1
kid,1
kill,1
kings,1
know,1
laptop,1
leader,1
learn,1
leave,1
left,1
lending,1
level,1
liquor,1
little,1
lives,1
lobby,1
located,1
lock,1
look,1
looks,1
lounging,1
machine,1
magic,1
maiden,1
managing,1
marching,1
mat,1
mean,1
melting,1
mentally,1
meteorite,1
method,1
middle,1
miniature,1
mirage,1
mobile,1
monster,1
monsters,1
moses,1
mosquitoes,1
mouth,1
much,1
museum,1
music,1
neck,1
necks,1
needle,1
neighbor,1
neighbors,1
newly,1
ocean,1
okay,1
old,1
olympic,1
order,1
original,1
others,1
outer,1
outfit,1
outstretched,1
oven,1
owner,1
pair,1
pancakes,1
paperwork,1
past,1
patient,1
patron,1
pay,1
paying,1
perpetuate,1
phone,1
phones,1
pick,1
picture,1
pierce,1
pipe,1
pipes,1
pirates,1
piñata,1
placed,1
plane,1
planets,1
plant,1
players,1
pocket,1
pointing,1
polar,1
pool,1
poor,1
possible,1
pots,1
present,1
press,1
prince,1
princess,1
protect,1
punishment,1
puppet,1
purpose,1
pushing,1
putting,1
radiator,1
reading,1
real,1
reality,1
realtor,1
receipt,1
recording,1
regular,1
release,1
remove,1
replaced,1
reptile,1
reservation,1
ride,1
riding,1
rifle,1
ripped,1
rock,1
rocket,1
roof,1
rowing,1
ruler,1
sad,1
sailing,1
sand,1
scaling,1
scene,1
scientist,1
scribe,1
scythe,1
security,1
see,1
seem,1
shape,1
shepherd,1
shirt,1
show,1
shower,1
singing,1
sisyphus,1
sit,1
sized,1
skins,1
sky,1
slanted,1
slippers,1
smart,1
soaking,1
soldier,1
space,1
spaceship,1
speaking,1
speech,1
spraying,1
square,1
stab,1
stabbed,1
stack,1
stacked,1
stashed,1
stay,1
stockade,1
stocks,1
straightjackets,1
stray,1
studying,1
suitcase,1
suits,1
sun,1
supervise,1
support,1
surrounded,1
suspended,1
suspenders,1
sweater,1
talk,1
tangled,1
tattered,1
things,1
third,1
thirsty,1
threw,1
throne,1
tie,1
tiny,1
tired,1
toast,1
together,1
ton,1
tornado,1
tossing,1
track,1
tracks,1
train,1
trap,1
traps,1
trash,1
travel,1
turmoil,1
turned,1
twist,1
umbrella,1
understand,1
upset,1
use,1
vacuum,1
visible,1
visiting,1
walk,1
walking,1
wave,1
waving,1
weather,1
weird,1
werewolf,1
white,1
wife,1
window,1
windows,1
wise,1
wish,1
without,1
wold,1
woods,1
worker,1
writing,1
wrong,1
yelling,1
