token,count,Id
gravity,3,539
situation,3,539
appreciate,1,528
course,2,683
easy,1,529
realize,1,529
nothing,4,529
virtually,2,529
suspended,1,529
disbelief,1,529
pretend,2,529
build,1,529
wall,2,701
climb,1,529
overhead,1,530
consensus,1,530
wise,1,530
men,3,635
move,2,577
chair,1,530
according,1,530
doctor,1,530
longevity,1,530
improve,1,530
dramatically,1,530
throne,2,729
walk,1,530
king,4,660
lived,1,530
happily,1,530
severed,1,530
long,2,552
sharp,1,530
nephew,1,530
castle,2,806
news,3,844
queen,2,530
royal,1,530
rope,1,530
maker,1,530
disappeared,1,530
majesty,1,530
far,2,533
sword,1,530
brief,1,530
agreed,1,530
everything,2,645
latest,1,530
polls,1,530
show,1,530
hanging,1,530
thread,1,530
stay,1,531
tonight,2,831
zoo,1,531
traffic,1,531
light,2,763
home,3,711
elected,1,531
tough,1,531
proving,1,531
born,1,531
africa,1,531
wild,1,531
hot,2,681
ceiling,1,531
fan,1,531
things,2,634
worse,1,531
impressed,1,531
ark,1,531
outside,1,531
dinner,4,665
top,1,531
fridge,1,531
lions,1,531
called,2,892
young,2,829
lawn,1,531
eat,3,860
find,2,851
anyway,1,532
texting,2,532
yeah,2,763
exactly,1,532
settle,2,785
involving,1,532
insurance,2,532
mate,1,532
swimming,1,532
totally,1,532
jump,1,532
ironically,1,532
even,2,743
killer,1,532
whale,1,532
heavy,1,532
blubber,1,532
exchange,1,532
information,1,532
something,2,533
chef,2,760
trained,1,533
paris,1,533
metro,1,533
grand,2,722
central,1,533
station,1,533
arrange,1,533
violinist,1,533
table,2,767
restroom,1,533
located,1,533
enough,2,533
drinks,1,533
arrive,1,533
appetizers,1,533
entrees,1,533
dessert,2,636
coffee,2,585
sammy,1,534
wins,1,534
pet,2,534
contest,1,534
ate,2,652
entries,1,534
eve,2,534
office,2,534
searching,1,534
rats,2,611
escaped,1,534
subway,3,609
track,1,534
dining,1,534
softly,1,534
fish,2,562
may,2,621
goes,1,534
starts,1,534
singing,1,534
moray,1,534
fired,2,781
carrying,1,534
shredder,1,534
stuff,1,534
surfaris,1,535
release,1,535
tale,1,535
knew,1,535
marrying,1,535
mermaid,1,535
expect,1,535
live,2,596
bet,1,535
restaurant,1,535
shrimp,1,535
menu,3,589
love,3,594
hospital,1,535
switched,1,535
birth,1,535
wants,2,749
seat,2,638
fall,2,594
asleep,1,535
wearing,2,708
seatbelt,1,535
brought,2,665
extra,2,578
trunk,1,535
road,2,539
dipstick,2,536
impotence,1,536
control,2,653
parallel,1,536
parking,1,536
started,1,536
assembled,1,536
two,2,573
thousand,1,536
miles,3,536
breakdown,1,536
voices,2,544
attending,1,536
aaa,1,536
meetings,1,536
clowns,2,818
inside,6,632
charging,1,536
end,1,536
set,1,536
months,1,536
whichever,1,536
patent,3,537
expired,2,537
original,1,537
took,1,537
making,2,556
preserver,1,537
hope,1,537
discovers,1,537
fire,2,560
six,2,728
close,1,537
perfect,1,537
square,1,537
done,1,537
send,1,537
prison,1,537
learning,1,537
use,2,547
rock,3,881
hammer,1,537
came,2,746
ages,1,537
ago,2,655
hole,2,701
cat,3,640
person,2,544
opener,3,538
defense,1,538
neutering,1,538
requirement,1,538
condo,1,538
apologize,1,538
laser,1,538
thing,2,649
little,2,596
prick,1,538
giant,2,783
pussy,1,538
knows,1,538
operate,1,538
thimble,1,538
sofa,1,538
learn,1,538
fix,1,538
dies,1,538
around,2,563
ignore,1,538
anymore,1,538
realizes,1,539
gps,1,539
recalculating,1,539
less,2,539
traveled,1,539
moment,2,885
unfollow,1,539
seem,1,539
car,3,803
keys,1,539
taking,2,568
travelled,1,539
bluffing,1,539
bob,1,539
understands,1,539
gym,2,541
reaper,2,541
kidding,1,541
tickets,1,541
divorced,2,541
delighted,1,541
current,1,541
address,2,541
insulting,1,541
sends,1,541
intern,1,541
honey,2,685
dressed,1,541
harold,1,541
years,3,872
happy,1,541
washing,1,541
toaster,1,541
different,1,542
shoes,3,718
henry,1,542
surviving,1,542
wife,4,615
backwards,1,542
filters,1,542
went,2,542
waist,1,542
smaller,2,542
deployed,1,542
carriage,1,542
cart,1,542
nah,1,542
count,1,542
rings,1,542
definitely,1,542
pushing,1,542
butt,1,542
lord,1,542
hickey,1,542
night,1,542
lapel,1,543
pin,1,543
registered,1,543
farts,1,543
gorilla,1,543
finally,2,615
change,1,543
subject,1,543
seeing,1,543
republican,2,884
party,2,884
ransom,1,543
face,1,543
bigly,1,543
refuses,1,543
trump,2,653
rally,1,543
online,1,543
wear,2,638
button,1,543
people,3,553
clogged,1,543
toilet,2,703
given,1,544
declining,1,544
accuracy,1,544
bow,1,544
arrow,1,544
lucky,1,544
guys,2,881
apples,1,544
bethlehem,1,544
hmmm,1,544
albany,1,544
county,1,544
liked,2,544
heads,1,544
printers,1,544
pants,4,638
thinking,2,544
constant,1,544
fear,1,544
days,1,544
sex,1,544
amazing,1,545
start,2,545
ten,1,545
bucks,1,545
mentions,1,545
growth,1,545
hedge,1,545
fund,1,545
moving,1,545
plants,2,545
mexico,2,545
millennials,1,545
perennials,1,545
moved,1,545
plan,2,699
applauded,1,546
happening,1,546
eaten,1,546
ted,1,546
enjoyed,1,546
ship,1,546
horizon,1,546
gag,1,546
wishes,2,585
smart,2,752
sarcastic,1,546
sense,1,546
irony,1,546
also,2,865
boat,1,546
food,1,546
lsd,1,546
tree,1,546
underwear,1,547
pomp,2,547
crazy,1,547
circumstances,1,547
okay,2,680
circumstance,1,547
ones,1,547
shave,1,547
rain,1,547
parade,1,547
mile,1,547
turn,2,594
outfit,1,547
follow,1,547
majorettes,1,547
five,1,548
acres,1,548
popcorn,1,548
major,1,548
tom,1,548
fast,1,548
physics,2,548
enforce,2,548
step,3,548
vehicle,3,548
glitch,1,548
continuum,1,548
sign,1,548
sound,2,548
zone,1,548
speed,1,548
sirens,1,548
admire,3,549
restraint,4,549
value,1,549
election,1,549
casual,1,549
fridays,1,549
handcuffs,1,549
resume,2,549
institutions,1,549
includes,1,549
escape,1,549
actually,2,593
impressive,1,549
committed,1,549
line,1,550
department,1,550
chairs,2,550
meant,2,557
willing,1,550
relocate,1,550
looking,2,771
bit,1,550
aggressive,1,550
point,1,550
semicircle,1,550
gave,1,550
equality,1,550
martin,1,550
realized,1,550
facing,1,550
fierce,1,550
competition,1,550
ghost,1,550
writer,1,550
position,3,656
upgrade,1,550
business,2,694
interview,1,550
differently,1,550
pez,1,550
obviously,1,550
choice,2,550
row,2,551
wave,2,551
shall,2,551
overcomb,2,551
undertow,1,551
combover,1,551
ladies,1,551
gentlemen,1,551
gift,2,551
friendship,2,551
france,1,551
straight,1,551
russia,1,551
emigrating,1,551
mayday,1,551
raging,1,551
tycoon,1,551
twitter,2,757
storm,1,551
sea,3,552
noah,1,552
grey,1,552
poupon,1,552
confidence,1,552
google,1,552
maps,1,552
thanks,3,552
seasick,1,552
sick,1,552
drum,1,552
majorette,1,552
slow,1,552
delightful,1,553
coincidence,1,553
recently,1,553
single,1,553
week,3,731
corrupt,1,553
media,1,553
blow,1,553
proportion,1,553
hopefully,1,553
president,2,688
smoother,1,553
gay,1,553
wonder,1,553
donald,1,553
ringling,1,554
brothers,2,554
lehman,1,554
suits,1,554
costume,1,554
games,1,554
gets,3,647
rocks,1,554
sprayed,1,554
directly,1,554
confirmation,1,554
hearing,1,554
cabinet,1,554
positions,1,554
fill,3,863
whoever,1,554
hire,1,554
replace,1,554
kind,1,554
inauguration,1,554
tailor,1,555
fiber,1,555
stick,1,555
times,1,555
lifeguard,1,555
bingo,1,555
dummies,1,555
leap,1,555
mannequin,1,555
screaming,2,555
farewell,1,555
thrashing,1,555
dressmaker,1,555
however,1,555
delicious,1,555
french,2,745
maid,1,556
fission,2,556
chips,2,556
husband,2,556
die,1,556
died,1,556
meet,1,556
saran,1,556
wrap,1,556
heaven,1,556
gluten,1,556
farted,1,556
damned,4,557
naked,1,557
bake,1,557
oven,3,557
phew,1,557
pictured,1,558
kept,1,558
fine,2,639
mom,3,558
made,1,558
apartment,2,766
tomorrow,1,558
hate,2,733
year,2,786
ready,1,558
finish,1,558
peas,1,558
crib,1,558
real,1,559
pirate,1,559
cannonballed,1,559
shoot,1,559
truth,1,559
attitude,1,559
eye,1,559
expected,1,559
flawless,1,559
execution,2,559
hated,1,559
annoyed,1,559
swim,1,559
riddance,1,559
mankoff,1,559
fancy,1,559
bastard,1,559
cartoon,1,560
editor,1,560
yorker,1,560
wheel,2,683
divorce,2,790
afford,1,560
place,2,560
invented,1,560
invested,1,560
wheels,2,798
pit,1,560
pricey,1,560
doorman,1,560
prehistoric,1,560
money,2,829
lastly,1,561
father,1,561
mailman,1,561
licked,1,561
mine,2,572
open,3,632
superglue,1,561
offense,1,561
prefer,1,561
acoustics,1,561
squirrel,1,561
freshly,1,561
waxed,1,561
plate,1,561
glass,1,561
mint,1,561
worms,2,869
statues,1,562
hold,1,562
identify,1,562
raise,1,562
bar,2,591
missed,1,562
flight,2,823
adopted,1,562
photo,1,562
listen,1,563
cheap,1,563
desk,2,567
karma,1,563
thunk,1,563
hamsters,1,563
inherit,1,563
earth,3,839
roll,1,563
running,1,563
smoothly,1,563
maze,1,563
piety,3,563
treat,1,563
animals,1,563
nights,1,564
laptop,1,564
mouse,2,564
demanding,1,564
equal,1,564
prey,1,564
costco,1,564
buy,1,564
computer,1,564
ferguson,1,564
jenkins,1,564
misunderstood,1,564
reserve,1,564
hooters,2,564
refer,1,564
best,2,739
damn,2,765
owl,1,564
salesman,1,564
ever,2,624
met,3,662
baseman,1,564
name,2,603
wow,1,565
literally,1,565
mess,1,565
recommended,1,565
exorcism,1,565
exercise,1,565
immediately,1,565
ashes,1,565
magically,1,565
appear,1,565
disease,2,653
named,1,565
patient,3,826
confidentiality,1,565
seriously,1,565
handle,1,565
burning,1,565
exorcist,1,565
network,1,565
explains,1,566
relentless,1,566
hunt,1,566
tuna,1,566
ishmeow,2,566
canary,1,566
islands,1,566
misses,1,566
parrot,2,566
ahab,1,566
rehab,1,566
therapy,2,591
cost,1,566
mice,1,566
morning,1,566
rub,2,585
belly,1,566
persians,1,566
travel,1,566
ban,1,566
taken,1,567
hotel,1,567
sleeping,1,567
embraced,1,567
standing,1,567
early,2,834
murphy,1,567
bed,3,892
sleep,1,567
timeshare,1,568
begin,1,568
east,1,568
river,1,568
grammatically,1,568
indeed,1,568
vito,1,568
tells,2,568
leaving,2,781
organization,1,568
united,1,568
reconsidering,1,568
offer,1,568
plunge,1,568
bridge,1,568
drop,1,568
tied,1,568
assumed,1,568
yea,1,569
ney,1,569
anderson,1,569
air,3,847
indefinitely,1,569
recognize,1,569
atkins,1,569
reynolds,1,569
levity,2,569
memo,1,569
incoming,1,569
male,1,569
typo,1,569
davis,1,569
idiot,1,569
thompson,1,569
satellite,1,569
rethink,1,570
ringtone,1,570
normally,1,570
sufficient,1,570
squirrels,1,570
nuts,2,884
francis,1,570
tweeting,1,570
scatter,1,570
ground,1,570
cluster,1,570
flock,1,570
suet,1,570
favorite,1,570
rear,1,570
bathroom,3,571
key,3,571
free,2,614
shipping,1,571
arrgh,1,571
missing,1,571
assume,1,571
anchor,3,571
arrived,1,571
hook,1,571
hat,1,571
management,1,571
issues,1,571
pete,1,571
complain,1,571
lost,3,716
struggled,1,571
afloat,1,571
catch,2,680
heard,1,572
perfectly,1,572
adequate,1,572
lot,2,670
balls,1,572
size,1,572
matter,1,572
dollar,1,572
noodle,1,572
mixed,2,862
initialed,1,572
heineken,1,573
maneuver,1,573
hunch,1,573
placebo,2,876
group,2,876
blood,1,573
alcohol,1,573
dangerously,1,573
low,1,573
trumpcare,1,573
visiting,1,573
starting,1,573
staggering,1,573
catheter,1,573
bedpan,1,573
fraternity,1,573
doc,1,573
pils,1,573
cook,2,708
books,2,574
prime,1,574
rib,1,574
steaks,1,574
sitting,1,574
cooking,1,574
works,2,845
laundering,1,574
monday,1,574
cases,1,574
rare,2,622
often,1,574
portfolio,1,574
boss,1,574
burner,1,574
pick,2,582
pace,1,575
billing,1,575
experts,1,575
hostile,2,619
takeovers,1,575
sue,1,575
dawn,1,575
fee,1,575
unless,1,575
win,2,575
pillaging,1,575
screw,1,575
battle,1,575
appeal,1,575
field,1,575
littered,1,575
habeas,1,575
corpuses,1,575
genie,1,575
hoard,1,575
ruthless,1,575
feared,1,575
throughout,1,575
history,1,575
lawyers,1,575
cover,1,576
sting,2,576
operation,2,576
approve,1,576
jewish,1,576
wasp,1,576
white,2,661
house,4,722
press,1,576
briefings,1,576
caught,4,793
worst,1,576
hives,2,576
sec,1,576
buzz,1,576
deliver,1,577
concessions,1,577
working,1,577
winning,1,577
tacos,1,577
getaway,1,577
personal,1,577
stand,2,782
pizza,2,578
paparazzi,3,578
coverage,1,578
excellent,1,578
secretary,1,578
large,1,578
paparazi,1,578
ross,1,578
santa,1,578
monica,1,578
nobody,1,578
dine,1,578
scaramucci,1,578
box,2,648
kittens,1,579
estate,1,579
planner,1,579
inheritance,1,579
lump,1,579
sum,1,579
spread,1,579
nine,1,579
lives,2,745
dog,2,763
votes,1,579
royalty,1,579
means,2,718
heir,1,579
taxidermist,1,579
captured,1,579
reigning,1,579
cats,1,579
dogs,1,579
meanings,1,579
succession,1,579
canaries,1,579
resuslts,1,579
acting,2,580
guard,1,580
swinging,2,580
reign,2,580
crusades,1,580
technically,2,779
guarding,1,580
posts,1,580
push,1,580
wake,1,580
produced,1,580
heirs,1,580
hammacher,1,580
schlemmer,1,580
thinks,1,580
palace,1,580
dump,1,580
chilly,2,581
circumcision,1,581
symposium,1,581
worries,1,581
heavens,1,581
desert,1,581
tablets,1,581
sacrificial,1,581
lamb,1,581
sample,1,581
foreskins,1,581
thy,2,581
sweater,1,581
knitted,1,581
wool,1,581
train,2,827
beat,1,582
red,1,582
third,1,582
knock,1,582
breathing,1,582
gwendolyn,1,582
pedaling,1,582
restraining,1,582
bike,2,582
ride,2,713
arman,1,582
roberts,1,582
age,2,651
dear,1,582
enjoy,1,582
rides,1,582
suggestion,1,583
anonymous,1,583
ken,1,583
stocks,1,583
bonds,1,583
whatever,1,583
stock,2,583
option,2,583
phone,1,583
takeover,2,619
putting,1,583
art,2,583
clearly,1,583
penalties,1,583
withdrawal,1,583
chose,1,583
motivational,1,583
speaker,3,864
ceo,1,583
opinion,1,583
senate,1,584
committee,1,584
women,2,584
health,2,584
tags,1,584
council,1,584
sperm,1,584
action,1,584
lawsuit,1,584
clients,1,584
copy,1,584
wished,2,887
hundred,1,584
wilson,1,584
gone,1,584
viral,1,584
correct,1,584
accounting,1,584
loose,1,584
describe,1,584
jim,1,584
messing,1,584
printer,1,584
fixed,1,585
bagel,1,585
setting,1,585
parts,1,585
crumb,1,585
tray,1,585
cleaned,1,585
brewing,1,585
country,1,585
medium,1,585
dark,2,741
toasted,1,585
sesame,2,585
kid,2,585
wedding,1,585
supervisor,1,585
toast,3,585
master,2,585
awhile,1,585
gon,2,673
alien,1,586
dirt,1,586
pennsylvania,1,586
avenue,1,586
hurry,1,586
exist,3,646
vacuum,1,586
aliens,2,794
perform,1,586
jobs,1,586
americans,1,586
fact,1,586
leader,2,586
attachments,1,586
eureka,1,586
identifiable,1,586
object,1,586
forgery,1,587
pedestrian,1,587
headlights,1,587
exhibit,1,587
leaping,1,587
lane,1,587
interstate,1,587
powerful,1,587
contemplating,1,587
beautiful,1,587
frankly,1,587
rather,1,587
signs,1,587
warning,1,587
cars,1,587
hits,1,587
telling,1,587
siri,1,588
hunchback,2,588
notre,2,588
dame,2,588
religious,1,588
practically,1,588
fixture,1,588
church,2,876
watch,1,588
beats,1,588
living,2,615
tower,1,588
dating,1,588
temple,1,588
beth,1,588
shalom,1,588
awkward,2,687
bright,2,610
pigeon,1,588
quasimodo,1,588
quarterback,1,588
bells,1,588
bother,1,588
items,1,589
reading,1,589
entire,1,589
closed,1,589
sommelier,1,589
drag,1,589
lawyer,4,794
minute,1,589
grilled,1,589
griddled,1,589
blackened,1,589
broiled,1,589
sautéed,1,589
fried,1,589
braised,1,589
boiled,1,589
steamed,1,589
poached,1,589
smoked,1,589
fricasseed,1,589
tartare,1,589
regret,1,589
selection,1,589
carefully,1,589
options,1,589
summer,2,806
lascaux,1,590
kiss,1,590
security,1,590
deposit,1,590
goodbye,1,590
drawing,1,590
caption,1,590
extinct,1,590
couple,1,590
neanderthals,1,590
later,1,590
million,3,872
write,1,590
walls,1,590
meal,1,590
posting,1,590
methods,1,591
jungian,1,591
soap,3,591
patients,1,591
loofah,1,591
threatening,1,591
jung,1,591
couch,4,666
brand,1,591
immersion,1,591
washes,1,591
guilt,1,591
exfoliates,1,591
cleans,1,591
spend,1,591
twenty,1,591
filling,1,591
tub,1,591
brush,1,591
cleansing,1,591
transition,1,591
meditation,1,591
confirming,1,591
coworkers,1,591
diagnosis,1,591
psychosocial,1,591
skill,1,591
disorder,1,591
cured,1,591
clean,2,734
slate,1,591
wring,1,592
neck,1,592
answer,1,592
number,2,669
wisequacks,1,592
pwoblem,1,592
stwessed,1,592
weady,1,592
quack,1,592
bread,2,695
birdseed,1,592
experiment,2,730
successful,1,592
ducks,1,592
snap,1,592
fingers,1,592
breadcrumbs,1,592
park,2,623
training,1,592
served,1,593
papers,1,593
personally,1,593
final,1,593
notice,1,593
note,1,593
sharply,1,593
worded,1,593
messenger,1,593
received,1,593
metaphor,1,593
painfully,1,593
aware,1,593
terms,1,593
conditions,1,593
stab,1,593
relax,1,594
lumberjacks,1,594
shirts,1,594
plaid,2,594
honestly,1,594
initials,1,594
carved,1,594
ass,2,660
interest,1,594
treesome,1,594
weird,1,594
pollinate,1,594
kevin,1,594
cialis,1,594
commercial,1,594
hair,4,673
begins,1,594
color,1,594
eventually,1,594
falling,1,594
surprise,2,595
manager,2,595
fat,1,595
already,2,700
abominable,1,595
spring,1,595
frosty,1,595
staring,1,595
stops,1,595
cranking,1,595
thermostat,1,595
meltdown,1,595
holidays,1,595
definition,1,595
seasonal,1,595
help,2,694
asks,1,595
carrot,1,595
mon,3,596
taxes,3,607
bag,2,793
unattended,1,597
traveling,1,597
covers,1,597
tsa,1,597
screening,1,597
suitcase,2,597
checked,1,597
print,1,597
emotional,1,597
baggage,2,597
rome,1,597
italian,1,597
airline,1,597
loses,1,597
luggage,1,597
counting,1,597
packed,1,597
grabbed,1,597
excited,1,597
claim,1,597
fitness,1,598
guru,2,598
wisdom,1,598
mountain,2,657
retired,1,598
path,1,598
tighter,1,598
settled,1,598
bounced,1,598
turns,1,598
inner,1,598
peace,1,598
core,1,598
strength,1,598
enlightenment,2,603
trying,1,598
achieve,1,598
alignment,1,598
balance,1,598
mostly,1,598
staying,1,598
edge,1,598
question,2,732
misunderstanding,1,598
bally,1,598
lama,1,598
dreamt,1,599
judges,1,599
require,1,599
plastic,1,599
bracelet,1,599
known,1,599
unconditional,1,599
code,1,599
alarm,1,599
considered,1,599
risk,1,599
arrest,1,599
comfy,1,599
hurts,1,599
fashion,1,599
hoping,1,599
attachment,1,599
mission,1,600
accomplished,1,600
planet,4,874
inhabitants,1,600
friendly,1,600
playful,1,600
abduct,1,600
boy,2,812
jetson,1,600
agrees,1,600
rectal,1,600
noses,1,600
research,2,807
tail,1,600
movements,1,600
suggests,1,600
able,1,600
determine,1,600
earthlings,1,600
intelligent,2,600
tap,3,600
book,2,769
alive,1,601
biking,1,601
stages,1,601
peyote,1,601
kick,1,601
builds,1,601
hon,1,601
cactus,1,601
sill,1,601
relieve,1,601
following,1,601
hug,1,601
trees,1,601
cookie,1,602
tests,1,602
toothpicks,1,602
past,1,602
icing,1,602
confection,1,602
ginger,2,602
fracture,1,602
sugarcoat,1,602
seconds,1,602
dough,3,631
yeast,1,602
infection,1,602
discovered,1,603
preferred,1,603
brunch,1,603
true,2,732
arduous,1,603
truly,1,603
menus,1,603
everybody,1,603
deserve,1,603
reservations,1,603
reservation,2,695
miller,1,603
deli,1,603
meaningless,1,603
forty,1,603
fully,1,603
present,2,878
portrait,1,604
symbol,1,604
political,1,604
primitive,2,604
hunting,1,604
gathering,1,604
record,1,604
existence,1,604
tar,1,604
pits,1,604
hunter,1,604
gatherer,1,604
calling,1,604
painting,2,605
stairs,1,605
near,1,605
escher,1,605
demoiselles,1,605
avignon,1,605
mcmurrays,1,605
hackensack,1,605
imitating,2,605
creepy,1,605
masterpiece,1,605
pal,1,605
stupid,1,605
kinda,1,605
drawn,1,605
due,1,605
nea,1,605
budget,1,605
cuts,3,609
described,1,605
ethel,1,605
sister,1,605
irene,1,605
senior,1,606
simulations,1,606
pan,1,606
yep,1,606
passed,1,606
clouds,1,606
delta,1,606
lets,1,606
redeem,1,606
vouchers,1,606
stoned,1,606
mistook,1,606
weather,1,606
balloon,1,606
exhaust,1,606
semi,1,606
jack,2,737
till,1,606
beanstalk,1,606
wipe,1,606
