contest_id,num_captions,image_locations,image_descriptions,image_uncanny_descriptions,entities,questions,Top Rated caption,The New Yorker's winner,date,Number of votes
523,4189.0,"['living room', 'the living room']","['There is a man and woman on a couch. Monkeys are all over the room and on them.', 'A man and a woman are sitting on the sofa. The woman is upset because the living room is full of monkeys climbing around.', 'A man and a woman are sitting on a couch. They are surrounded by numerous monkeys.']","['Monkeys are found in jungles or zoos, not in houses.', 'The room is full of monkeys which would cause a mess in the house.', 'There are monkeys in a house.']","['https://en.wikipedia.org/wiki/Amazon_(company)', 'https://en.wikipedia.org/wiki/Mischief', 'https://en.wikipedia.org/wiki/Monkey', 'https://en.wikipedia.org/wiki/Amazon_rainforest']","['Why is the room full of monkeys?', 'Why are there monkeys in a house?', 'Why are the monkeys there?']",“You ordered from the wrong Amazon.”,,2016-06-05,249063
524,3963.0,['the hills'],['A knight is in the countryside. He is dueling with a dragon.'],['The dragon is dueling with a weapon rather than breathing fire.'],"['https://en.wikipedia.org/wiki/Swordsmanship', 'https://en.wikipedia.org/wiki/Dragon']",['Why are they angry with one another?'],"“Take the picture, dammit, take the picture!”",,2016-06-12,172680
526,4885.0,"['heaven', 'heavan']","[""Two angels are standing on a cloud. They're having a conversation."", 'A man and a woman are talking. They are angels. The man has a huge halo while the woman has a normal sized one.', ""A female angel is listening to a male angel talk. Her halo is normal sized, while the man's is at least 4 times larger than hers. They are both surrounded by clouds.""]","['Nothing is really out of place in this picture.', ""It's unusual to see a halo that is as large as that of the male angel's. Additionally, angels aren't typically depicted with looks of longing as seen on the female's face."", ""The man's halo is unusually large.""]","['https://en.wikipedia.org/wiki/Egotism', 'https://en.wikipedia.org/wiki/Halo_(religious_iconography)', 'https://en.wikipedia.org/wiki/Angel']","['What are the angels discussing?', ""Why is the male angel's halo so large?"", ""Why is the man's halo so huge?"", 'Does the female want to hook up with the egotistical male angel?']",“Hey! My eyes are down here.”,,2016-07-03,238677
527,,,,,,,"“Well, your profile pic doesn't look much like you either.”",,2016-07-10,237412
528,4445.0,"['a meeting room', 'an office room']","['A business meeting is going on. The boss is at a long table. The rest of the group are in the corner of a room that is slanted sharply.', 'In an office, people are having a meeting in a slanted room. Everyone is pushed back to one corner of the room.', 'A man sits at a board room table. All the other board members are sitting a distance away from the table.']","['Meetings take place in a level room with everyone taking a seat around the table. It is less productive for people to be in one corner of the room.', 'The executives are very far away from the table.', 'The room is slanted so much that everyone is in the corner except the boss.']","['https://en.wikipedia.org/wiki/Office', 'https://en.wikipedia.org/wiki/Employment', 'https://en.wikipedia.org/wiki/Rotating_unbalance', 'https://en.wikipedia.org/wiki/Crowd']","['Why is the room so slanted?', 'Why are they sitting so far away?', 'Why are the people in one corner of the room?']",“Welcome to Weight Watchers!”,,2016-07-17,96609
529,4483.0,"['room', 'the ground']","['A man is climbing a mountain in midair. A man below is staring at him. There is no mountain.', 'A man is climbing up a wall of nothing. Another man watches from below.', 'A man in climbing gear is climbing nothing but air as another man watches on. There is nothing in the back ground or on the ground.']","['It is impossible to climb onto nothing.', 'The man is scaling an invisible mountain.', 'There is no wall or cliff that the man is climbing.']","['https://en.wikipedia.org/wiki/Mountaineering', 'https://en.wikipedia.org/wiki/Climbing_wall', 'https://en.wikipedia.org/wiki/Invisibility']","[""Why is the man scaling a mountain that isn't there?"", 'How is he suspended in the air?', 'How is the man climbing nothing?']",“Of course I understand the gravity of the situation.”,,2016-07-31,231291
530,3429.0,"['a kingdom', 'a royal chamber']","['There is a huge sword or knife above the king hanging from a string. A king sits there in his throne while a court reader reads a scroll.', 'There is a king leaning back in his throne who is listening to a scribe who stands in front of him. The scribe is reading from a piece of rolled parchment. Above the king hangs a giant sword which stretches across the entire width of the room.', ""A giant knife is hanging above the king's throne. A jester is reading a letter to the king who is sitting down.""]","['Giant knives are not common.', ""It is unusual for a sword to be this size and for it to be hung directly above the king's throne."", 'There is a huge sword above the king. It could easily fall on him.']","['https://en.wikipedia.org/wiki/Dagger', 'https://en.wikipedia.org/wiki/King']","['Why is there a giant knife?', 'Why is the sword so big?', 'What is the scribe reading to the king?', 'Why is the sword so huge?']",“Your overhead is going to kill you.”,,2016-08-07,218558
531,4077.0,['a living room'],"['Two giraffes are in a house. One is on the couch watching TV.', 'There are two giraffes in the living room of a house. One giraffe is standing and talking to the other giraffe who is laying across an entire couch. The giraffe on the couch is possibly watching a TV which is seen in the foreground.', 'Two giraffes are chatting in a living room. One is on the sofa watching TV.']","['Giraffes are in a house watching TV.', 'Giraffes are doing human things.', 'It is unusual for animals to be acting like people in the living room of a house.']","['https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Giraffe']","['Why are there giraffes in a house?', 'What are they talking about?', 'Why are the giraffes inside a house?', 'What is the standing giraffe saying to the giraffe who is laying down on the couch?']",“Let's stay in tonight. It's a zoo out there.”,,2016-08-14,498337
532,5779.0,"['a small island', 'an island']","['A whale is beached on a small island. He has crushed a man and a tree beneath him.', 'A large sperm whale is beached on a small island in the middle of the ocean. Underneath the whale is a toppled palm tree and two human feet.', 'there is a whale that is beached on an island. The whale does not look happy and the island is smaller than its body.']","[""The whale doesn't fit on the island."", ""Whales aren't typically so large that they can cover an entire island. Additionally, whales typically remain in the sea, and aren't usually found belly-flopped on a person."", 'Whales do not typically beach on islands that are so small.']","['https://en.wikipedia.org/wiki/Whale', 'https://en.wikipedia.org/wiki/Cetacean_stranding']","['Do you think that the man is okay?', 'Why is the whale beached on the island?', 'Why did the whale get out of the water?', 'What happened to cause the whale to beach itself?']",“Who's endangered now?”,,2016-08-28,714986
533,5005.0,"['subway station', 'a subway']","[""A man and a woman are dining at a subway station. They're looking at menus. The waiter stands nearby."", 'People are having dinner at a subway station. A waiter is taking their order. People are waiting for the train behind them.', 'A couple is having a dinner in the middle of a subway station platform. A waiter waits for their order while everyone else ignores them.']","['The table and waiter are out of place in a subway station.', 'The is a dinner table at the subway station?', 'People do not eat in the middle of a subway station. It would cause an accident.']","['https://en.wikipedia.org/wiki/Waiting_staff', 'https://en.wikipedia.org/wiki/Restaurant', 'https://en.wikipedia.org/wiki/Dating']","['Why are they eating at a subway?', 'Why is there a dinner table at a subway station?', 'Why are they having a dinner in the middle of the station?']","“If you see something, say something.”",,2016-09-04,377496
534,4295.0,"['the office', 'office']","['Two men are carrying a big snake into a building. Another man approaches them with a paper in his hand.', 'Two men carry a large snake into the work office. They are stopped by a man with a piece of paper in his hand.', 'Two men are carrying a huge snake. One man looks at them. This is at an office.']","['There is a huge snake in an office.', ""Snakes don't get that big."", 'Bringing snakes to work is dangerous.']","['https://en.wikipedia.org/wiki/Herpetology', 'https://en.wikipedia.org/wiki/Invoice', 'https://en.wikipedia.org/wiki/Snake', 'https://en.wikipedia.org/wiki/Ophidiophobia']","['Why are they bringing a snake to work?', 'Why are they carrying a huge snake?', 'Why are the men carrying a huge snake?']","“Looks like Sammy wins the ""bring your pet to work"" contest. He ate all of the other entries!”",,2016-09-11,425529
535,6103.0,"['the ocean', 'car']","['A couple is in the car. A whale is in the backseat of the car.', 'Two people are driving a car. There is a whale in the backseat.', ""A whale is behind a person's car. There are two people in the car who have not noticed it.""]","[""A whale is in back of the car. The whale couldn't survive outside the water or fit in the car."", ""Whales don't belong out of the water."", 'A whale needs to be in water in order to survive and would not survive on a road.']","['https://en.wikipedia.org/wiki/Couple_(relationship)', 'https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Sperm_whale', 'https://en.wikipedia.org/wiki/Whale']","['Why is there a whale in the car?', 'Why is the whale behind them?', 'Where did they pick up a whale?']",“You and your surfaris.”,,2016-09-18,488929
536,6599.0,['a psychiatry office'],"[""A psychiastrist is in her office. She's talking to a car that is on her couch.""]",['There is a car instead of a patient.'],"['https://en.wikipedia.org/wiki/Car', 'https://en.wikipedia.org/wiki/Therapy']",['Why is the car there?'],“Sometimes a dipstick is just a dipstick.”,,2016-09-25,415065
537,5559.0,['the living room'],['Two women are sitting in a living room chatting and drinking from cups. A man in the other room considers a giant donut.'],['There is a giant donut in the other room.'],"['https://en.wikipedia.org/wiki/Sculpture', 'https://en.wikipedia.org/wiki/Wheel']",['Why is there a giant donut?'],“He said the patent expired”,,2016-10-02,665537
538,3104.0,"['a table', 'a blank space']","['There is a tiny man holding a giant needle and thread. He is pointing the needle at a giant cat who is pawing at the needle and has its mouth open. There are also giant scissors and spool of thread in the foreground.', 'A tiny man is wielding a sewing needle. He is fending off an aggressive cat.', 'A small man points a needle at a cat. The cat has its claws out ready to fight the man. The man looks like he is defending himself with the needle.']","['Men are not that tiny.', 'It is unusual for a man to be so small. It is also unusual for anyone to point a needle at a cat.', 'Cats are not bigger than human men.']","['https://en.wikipedia.org/wiki/Sewing_needle', 'https://en.wikipedia.org/wiki/Cat']","['How did the man get so small?', 'Why is the man so small?', 'Why is the man pointing a needle at the cat.']",“I'm not a big cat person.”,,2016-10-09,385675
539,4827.0,['a cliff'],"['A man is hiking on the side of a cliff. Two hikers watch from above.', ""Three hikers with outdoor gear and backpacks are at the edge of a cliff. Two hikers are standing on the edge watching the third hiker who defy gravity by walking straight down the cliff vertically. One of the spectator hikers on the cliff's edge is talking."", 'Three men are hiking in the mountains. one man is walking down the cliff.']","['The one explorer is defying gravity.', 'You cannot hike down a steep cliff without plummeting to your death.', 'It is unusual that a hiker could walk down a 90 degree cliff face while standing straight up.']","['https://en.wikipedia.org/wiki/Walking_stick', 'https://en.wikipedia.org/wiki/Hiking', 'https://en.wikipedia.org/wiki/Rock_climbing', 'https://en.wikipedia.org/wiki/Gravity']","['How is the man able to stay on the cliff and not fall off?', 'What is the other hiker saying?', 'How can the hiker defy gravity?', 'How is he doing that?']",“I don't think he realizes the gravity of the situation.”,,2016-10-16,555190
541,5066.0,"['living room', 'the front door']","['A woman is opening her front door. A man with a hood and a scythe is talking to her.', ""The grim reaper is standing at the door to someone's home while wearing a casual outfit.  A woman is holding a door open for him and speaking."", ""The grim reaper is wearing a hoodie and has come to a woman's door. The woman is shocked to see him.""]","['The grim reaper is wearing a hoodie and pants. Normally he wears a black outfit.', ""It's unusual to see death depicted not wearing his traditional black robe"", 'The man is dressed like Death.']","['https://en.wikipedia.org/wiki/Hoodie', 'https://en.wikipedia.org/wiki/Death_(personification)', 'https://en.wikipedia.org/wiki/Scythe']","['why is death dressed like that?', 'Why is the grim reaper dressed like a hoodlum?', 'Why does he have a scythe with him?']",“Let me guess...the Gym Reaper?”,,2016-10-30,510944
542,6189.0,"['a village', 'a community']","['Two old fashioned gentleman are staring at a woman outside. She has a huge frill around her neck.', 'This is in England during the Victorian Era. Two men are staring at a woman. The woman has a huge collar around her neck.', 'Two men stand in a medieval country setting.  Walking past them is a third person, a woman with a large circular object around her neck']","[""It's unusual to see people wearing clothing of such large size around the neck"", ""A lady's dress frill is not that large, and is very ungainly."", ""The woman's collar is huge. It covers half her face and is not supposed to be like that.""]","['https://en.wikipedia.org/wiki/Ruff_(clothing)', 'https://en.wikipedia.org/wiki/Attention', 'https://en.wikipedia.org/wiki/Victorian_era']","['Why is the collar so exaggerated on the woman?', 'Why is that person dressed like that?', 'Why is her frill so huge?']",“Should we tell her she's wearing two different shoes?”,,2016-11-06,581602
543,6227.0,['the living room'],['A man and a woman are facing each other in a chair. An elephant is in the room next to them.'],"[""Elephants don't live inside houses.""]","['https://en.wikipedia.org/wiki/Elephant', 'https://en.wikipedia.org/wiki/Elephant_in_the_room']",['Why is the elephant there?'],“I really just thought they would send me a lapel pin when I registered.”,,2016-11-13,450498
544,4304.0,['an office desk'],['Two men are talking. Both have desks on their heads with tiny men working on computers.'],['The desks and men on their heads is pretty odd.'],"['https://en.wikipedia.org/wiki/White-collar_worker', 'https://en.wikipedia.org/wiki/Work_(human_activity)']",['What are they talking about?'],"“Given Mr Tell's declining accuracy with his bow and arrow, we're lucky the guys don't use Apples.”",,2016-11-20,198246
545,5188.0,['a meeting room'],"[""A bunch of executives are around a board room table. They're staring at a plant seated at the end.""]",['There is a plant instead of a CEO.'],"['https://en.wikipedia.org/wiki/White-collar_worker', 'https://en.wikipedia.org/wiki/Houseplant']",['Why is a plant in a chair?'],“It's amazing to think he started out in the lobby.”,,2016-11-27,344095
546,4924.0,['an island'],"[""Two people are on a deserted island. They're looking at another island, where dolphins are stranded."", 'Two men are on a small island. The island next door is made of dolphins.', 'Two people are stanind on a small island in the ocean with a single palm tree on it.  They are staring at a group of dolphins that have stacked their bodies together in such a way as to imitate the people and the island they are stuck on']","[""There are dolphin out of the water, and they're making the formation of a palm tree."", 'The dolphins are forming an island. Dolphins cannot line up like that.', 'It is unusual to see several dolphins working together to imitate an object via posing and stacking on top of each other']","['https://en.wikipedia.org/wiki/Dolphin', 'https://en.wikipedia.org/wiki/Imitation', 'https://en.wikipedia.org/wiki/Mimicry']","['Why are the dolphins doing that?', 'Why are the dolphins doing this?', 'Why are the dolphins forming an island?']",“We never should have applauded.”,,2016-12-04,333116
547,3710.0,"['a desert', 'the desert']","['There is a marching band conductor leading two starving men through the desert. The  men are on the ground crawling.', 'A woman in parade attire marches through the desert.  Crawling behind her are two ragged-looking men', ""Two men are exhausted, crawling through the desert. They're following a marching band leader.""]","['The band leader is out in the middle of a deserted wasteland.', ""It's unusual to see three people parading through a desert"", 'There is a marching band leader in the middle of nowhere.']","['https://en.wikipedia.org/wiki/Marching', 'https://en.wikipedia.org/wiki/Dehydration', 'https://en.wikipedia.org/wiki/Allegiance', 'https://en.wikipedia.org/wiki/Bandleader']","['Why is there a woman leading two men through the desert', 'Is this a mirage?', 'Why is there a marching band leader leading these thirsty and tired men through the desert?']",“You're right. No underwear.”,,2016-12-11,398746
548,5517.0,['a traffic stop'],"['There is a rocket on the ground, still smoking. A policeman is there and is writing the driver a ticket.']",['Somehow the police car has caught the rocket.'],"['https://en.wikipedia.org/wiki/Police', 'https://en.wikipedia.org/wiki/Space_vehicle']",['Why is the rocket on the ground?'],"“Well, five acres of popcorn back there says you were.”",,2016-12-18,501425
549,5789.0,"['an office room', 'an office']","['Two people are sitting across a desk from one another. They are both tied up in straight jackets.', 'Two people are in stray jackets. They are in an office meeting type of setting.', 'Two women in straightjackets are talking in an office. One woman is behind a desk.']","['The women are wearing straightjackets in an office.', 'People wear nice work clothes when meeting in the office and not stray jackets.', ""People don't normally wear straight jackets in offices.""]","['https://en.wikipedia.org/wiki/Interview', 'https://en.wikipedia.org/wiki/Straitjacket']","['Why are the women wearing straightjackets?', 'Are they in an asylum?', 'Why are they wearing stray jackets?']",“I admire your restraint.”,,2016-12-25,475431
550,5554.0,['an office'],['A man is talking to another man in an office. There are many chairs in a line in front of him.'],['There are a half dozen chairs between the man and his boss.'],"['https://en.wikipedia.org/wiki/Queue_area', 'https://en.wikipedia.org/wiki/Chair']",['Why are there so many chairs?'],"“When I asked you to line up a meeting with the Department Chairs, this is not what I meant.”",,2017-01-08,463593
551,4843.0,['sea'],['People are in a boat paddling. A huge wave with a scary face and arms tries to get them. The Statue of Liberty is in the background.'],['The waves have a face and arms.'],"['https://en.wikipedia.org/wiki/Rowing', 'https://en.wikipedia.org/wiki/Wind_wave', 'https://en.wikipedia.org/wiki/Immigration']",['Why does the wave have hands and a face?'],“Row v. Wave”,,2017-01-15,583185
552,5437.0,"['a desert', 'sand']","['A man is rowing a boat in the middle of a desert. Another man with tattered clothes is on the ground and on his knees with an angry expression.', 'A man is crawling through the desert. Another man is attempting to paddle a boat through the sand.', 'There is a man rowing a boat across a sandy desert who is looking down at another man next to his boat. The other man is crawling on all fours and is looking up and talking to the man in the boat.']","[""Rowing a boat in a dry desert is pointless since there isn't any water."", 'It is unusual that a man is rowing a boat through sand. It is also unusual to find a man crawling through a desert on all fours.', ""A rowboat shouldn't be in the middle of the desert.""]","['https://en.wikipedia.org/wiki/Rowing', 'https://en.wikipedia.org/wiki/Thirst', 'https://en.wikipedia.org/wiki/Desert_island']","['How is the man in the boat able to row through sand?', 'Why is the man rowing a boat in the desert?', 'Why is he trying to row?', 'What is the man on all fours saying?']",“Long time no sea.”,,2017-01-22,519548
553,6996.0,['a wasteland'],['A man and woman are sitting on what looks to be stones in a city that appears to be destroyed. There is smoke and damaged building in the background. Both are looking at each other with confused look on their face.'],['Both man and woman are dressed well and the city in the background is completely destroyed. The destruction in the background does not seem to worry them.'],"['https://en.wikipedia.org/wiki/Bench_(furniture)', 'https://en.wikipedia.org/wiki/Intimate_relationship']",['What happened to the city?'],“I'd like to see other people.”,,2017-01-29,547090
554,5154.0,"['a bar', 'a restaurant']","[""A clown stares at a shop owner from outside the shop. There is a name on the store called ''Sam's''."", 'A clown is sitting at a bar.  A bartender is facing him.', ""A clown is staring into a large glass window into a store. The store is named Sam's.  There is a clerk at the counter looking at the clown. Based on the tap near the clerk, this place serves soda.""]","['It is weird for the clown to stare at someone from outside a store.', ""One normally doesn't find clowns in full makeup at a bar"", ""It's abnormal for someone to walk around dressed as a clown. It's also peculiar to just stand and stare at someone through a window, as well as creepy.""]","['https://en.wikipedia.org/wiki/Ownership', 'https://en.wikipedia.org/wiki/Soda_fountain', 'https://en.wikipedia.org/wiki/Clown']","['Why is the clown staring at the clerk?', 'Why is the clown staring at the man?', 'What is the clown doing at the bar?']",“You were with Ringling Brothers? I was with Lehman Brothers.”,,2017-02-05,928060
555,6353.0,"['ocean', 'the sea']","['Two sharks are facing each other in the ocean. One shark has a retail store wardrobe dummy in its mouth while the other watches.', 'Two sharks are in the water looking at one another. One of the sharks has a mannequin store display model in its mouth. They have serious looks on their faces.', 'Two sharks are talking underwater. One of them has a mannequin in its teeth.']","[""A mannequin store display doesn't belong in the water and sharks eat real animals with meat so it's unusual to see a shark trying to eat a mannequin."", 'It is unusual for a shark to have a wardrobe dummy in its mouth.', 'Nothing unusual. People drop all sorts of random crap in the ocean.']","['https://en.wikipedia.org/wiki/Mannequin', 'https://en.wikipedia.org/wiki/Shark']","['What is the shark going to do with the mannequin?', 'Why does the shark have a dummy in its mouth.', 'What is the other shark who is watching thinking?', 'Why is the shark trying to eat the mannequin?']",“I'll never let go.”,,2017-02-12,501078
556,5054.0,"['a kitchen', 'the kitchen']","['Two people are in a kitchen. One of them is in a hazmat suit and cooking.', 'A woman is wearing a hazmat suit while cooking. A man is drinking wine in the kitchen near her.', 'A man and a woman are in the kitchen together. The man is holding a glass and having a drink. The woman is in some sort of hazmat suit while cooking on the stove.']","[""You don't need a hazmat suit in the kitchen."", 'The woman is wearing a hazmat suit in the kitchen while cooking. This is overkill.', 'The wife is wearing a protective suit while cooking.']","['https://en.wikipedia.org/wiki/Space_suit', 'https://en.wikipedia.org/wiki/Hazmat_suit', 'https://en.wikipedia.org/wiki/Cooking']","['What is she cooking?', 'Why is the woman wearing a hazmat suit?', 'What is the woman trying to protect herself from?']",“I think I like the French maid outfit better.”,,2017-02-19,713533
557,8861.0,['the jungle'],['Adam and Eve are in the garden of Eden. Eve is offering Adam a pie. The serpent is in a nearby tree.'],"[""Apple pie is a modern food and doesn't belong.""]","['https://en.wikipedia.org/wiki/Apple_pie', 'https://en.wikipedia.org/wiki/Adam_and_Eve']",['Where did she find an oven?'],"“Well, I'll be damned...”",,2017-03-06,767998
558,3925.0,['a bedroom'],"[""A man is sitting in a playpen. He's holding some kind of communicator.""]","[""Adults don't use playpens.""]","['https://en.wikipedia.org/wiki/Ageing', 'https://en.wikipedia.org/wiki/Infant_bed']",['Why is he in there?'],“I pictured it differently when you said you kept my room just like it was.”,,2017-03-12,524297
